gpa,cum_total_crds,gender,asian,black,hawaiian,hispanic,unknown,white,ethnic_dummy,format_ol,format_blended,sat_math_NEW,sat_verbal_NEW,enroll_count,format_f2f_v_ol,format_f2f_v_blended,format_combined_v_f2f,falsexam,experiment1
NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,1,540,570,3,NA,1,0,83.30000305175781,1
NA,26,1,0,0,0,0,0,1,0,0,0,510,600,3,0,0,1,74.95996856689453,1
3.445,33,0,NA,NA,NA,NA,NA,NA,NA,0,0,560,550,3,0,0,1,69.9599609375,1
3.188,20,0,0,0,0,0,1,0,1,1,0,590,600,2,1,NA,0,0,1
3.918,51,0,0,0,0,0,0,1,0,0,1,630,680,3,NA,1,0,88.32994079589844,1
3.425,20,0,NA,NA,NA,NA,NA,NA,NA,1,0,690,500,3,1,NA,0,64.94999694824219,1
2.454,24,1,0,0,0,0,0,1,0,0,0,630,660,3,0,0,1,66.63999938964844,1
2.2,14,1,0,0,0,0,0,1,0,1,0,510,470,2,1,NA,0,0,1
2.633,15,1,0,0,0,0,0,1,0,0,0,700,510,3,0,0,1,76.63999938964844,1
3.249,41,0,NA,NA,NA,NA,NA,NA,NA,1,0,560,490,3,1,NA,0,74.98999786376953,1
3.469,29,1,0,0,0,0,0,1,0,1,0,640,610,3,1,NA,0,59.939998626708984,1
NA,NA,1,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,2,NA,1,0,0,1
3.31,29,0,0,0,0,0,0,1,0,0,1,680,700,3,NA,1,0,75.0199966430664,1
3.463,35,0,NA,NA,NA,NA,NA,NA,NA,1,0,640,510,3,1,NA,0,58.310001373291016,1
3.58,15,0,1,0,0,0,0,0,1,1,0,630,520,2,1,NA,0,0,1
1.795,17,0,0,0,0,0,0,1,0,1,0,520,540,2,1,NA,0,0,1
2.57,16,0,NA,NA,NA,NA,NA,NA,NA,0,0,580,610,2,0,0,1,0,1
3.313,15,1,0,0,0,0,0,1,0,1,0,710,580,3,1,NA,0,76.76000213623047,1
3.121,44,1,0,0,0,0,0,1,0,0,0,580,530,2,0,0,1,0,1
3.85,14,1,0,0,0,0,0,1,0,1,0,630,590,3,1,NA,0,71.68000030517578,1
NA,30,1,NA,NA,NA,NA,NA,NA,NA,0,0,660,540,3,0,0,1,89.9800033569336,1
3.401,135,0,1,0,0,0,0,0,1,1,0,620,460,2,1,NA,0,0,1
3.667,41,0,1,0,0,0,0,0,1,0,1,700,470,3,NA,1,0,84.98999786376953,1
3.364,32,1,NA,NA,NA,NA,NA,NA,NA,0,0,640,690,3,0,0,1,81.62999725341797,1
3.508,22,1,0,1,0,0,0,0,1,0,1,560,580,3,NA,1,0,83.31999969482422,1
3.613,39,0,1,0,0,0,0,0,1,0,0,730,490,3,0,0,1,73.3199691772461,1
2.346,25,1,1,0,0,0,0,0,1,0,0,NA,NA,2,0,0,1,0,1
3,69,1,0,0,0,0,0,1,0,1,0,NA,NA,2,1,NA,0,0,1
NA,NA,0,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,2,NA,1,0,0,1
2.752,64,0,1,0,0,0,0,0,1,0,0,800,800,3,0,0,1,73.27996826171875,1
3.047,28,0,1,0,0,0,0,0,1,1,0,NA,NA,2,1,NA,0,0,1
3.764,14,1,0,0,0,0,0,1,0,1,0,770,590,3,1,NA,0,88.37999725341797,1
3.586,70,1,1,0,0,0,0,0,1,1,0,NA,690,2,1,NA,0,0,1
2.869,60,0,0,0,0,0,0,1,0,1,0,690,660,3,1,NA,0,68.36000061035156,1
2.629,41,0,0,0,0,0,0,1,0,0,1,660,690,2,NA,1,0,79.970001220703125,1
2.817,12,0,NA,NA,NA,NA,NA,NA,NA,0,1,620,490,3,NA,1,0,68.29000091552734,1
3.557,75,0,0,0,0,0,0,1,0,1,0,530,540,3,1,NA,0,71.62999725341797,1
1.736,26,1,NA,NA,NA,NA,NA,NA,NA,0,1,500,520,3,NA,1,0,71.62999725341797,1
3.444,16,0,0,0,0,0,0,1,0,0,0,610,630,3,0,0,1,91.6500015258789,1
2.771,35,1,NA,NA,NA,NA,NA,NA,NA,0,0,460,520,3,0,0,1,68.30999755859375,1
3.207,61,1,0,0,0,0,0,1,0,1,0,640,560,3,1,NA,0,75.0199966430664,1
2.307,14,0,1,0,0,0,0,0,1,0,0,550,470,3,0,0,1,73.44000244140625,1
