gpa,cum_total_crds,gender,asian,black,hawaiian,hispanic,unknown,white,ethnic_dummy,format_ol,format_blended,sat_math_NEW,sat_verbal_NEW,enroll_count,format_f2f_v_ol,format_f2f_v_blended,format_combined_v_f2f,falsexam,experiment1
NA,27,1,0,0,0,0,0,1,0,0,1,490,430,3,NA,1,0,70.029998779296875,1
2.35,110,1,0,0,0,0,0,1,0,0,0,660,550,3,0,0,1,68.28996276855469,1
3.894,34,0,0,0,0,0,0,1,0,1,0,640,600,3,1,NA,0,76.7300033569336,1
NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,0,740,550,3,1,NA,0,86.65995788574219,1
1.517,34,0,0,0,0,0,1,0,1,0,1,550,620,3,NA,1,0,48.33998107910156,1
3.103,37,1,0,1,0,0,0,0,1,1,0,565,515,3,1,NA,0,81.69999694824219,1
NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,0,700,590,2,1,NA,0,0,1
3.753,15,0,0,0,0,0,0,1,0,1,0,650,580,3,1,NA,0,81.720001220703125,1
3.925,18,0,0,0,0,0,0,1,0,1,0,630,600,2,1,NA,0,0,1
NA,30,1,0,0,0,0,0,1,0,0,0,550,560,3,0,0,1,56.599971771240234,1
3.677,13,1,0,0,0,0,0,1,0,1,0,580,640,2,1,NA,0,0,1
3.553,17,0,0,0,0,0,0,1,0,0,1,570,500,2,NA,1,0,0,1
3.05,15,1,0,0,0,0,0,1,0,1,0,720,550,2,1,NA,0,0,1
2.65,16,1,0,0,0,0,0,1,0,0,1,720,700,3,NA,1,0,81.6500015258789,1
4,12,1,1,0,0,0,0,0,1,1,0,NA,NA,3,1,NA,0,94.98999786376953,1
2.793,14,0,0,0,0,0,0,1,0,0,0,590,610,3,0,0,1,59.91999816894531,1
3.083,29,0,0,0,0,0,0,1,0,0,0,560,665,3,0,0,1,61.68000030517578,1
3.7,27,0,0,0,0,0,0,1,0,0,1,520,510,3,NA,1,0,86.63999938964844,1
3.307,14,1,0,0,0,0,0,1,0,1,0,620,590,3,1,NA,0,86.660003662109375,1
0.8,4,0,0,0,0,0,0,1,0,0,0,620,630,2,0,0,1,0,1
3.3,21,1,0,0,0,0,0,1,0,1,0,620,660,3,1,NA,0,88.30999755859375,1
1.65,36,1,NA,NA,NA,NA,NA,NA,NA,1,0,570,480,3,1,NA,0,81.69999694824219,1
2.45,112,0,1,0,0,0,0,0,1,1,0,690,630,2,1,NA,0,0,1
2.968,64,1,1,0,0,0,0,0,1,0,1,550,450,3,NA,1,0,68.339996337890625,1
2.993,14,0,1,0,0,0,0,0,1,0,1,NA,NA,2,NA,1,0,0,1
2.893,15,1,0,0,0,0,0,1,0,1,0,630,590,2,1,NA,0,0,1
2.792,13,1,0,0,0,0,0,1,0,0,0,740,650,3,0,0,1,78.4000015258789,1
3.308,13,1,0,0,0,0,0,1,0,0,0,570,700,3,0,0,1,74.970001220703125,1
2.714,56,0,0,0,0,0,0,1,0,1,0,NA,NA,3,1,NA,0,83.31999969482422,1
3.038,42,1,1,0,0,0,0,0,1,0,1,600,620,2,NA,1,0,0,1
3.85,28,1,1,0,0,0,0,0,1,0,0,660,500,3,0,0,1,84.98999786376953,1
2.664,28,1,0,0,0,1,0,0,1,1,0,670,430,3,1,NA,0,76.62000274658203,1
3.469,20,0,0,0,0,0,0,1,0,0,1,550,640,3,NA,1,0,68.36000061035156,1
3.287,16,1,NA,NA,NA,NA,NA,NA,NA,0,1,690,510,3,NA,1,0,76.62000274658203,1
3.88,15,0,0,0,0,0,0,1,0,1,0,600,540,3,1,NA,0,66.62000274658203,1
2.513,32,1,NA,NA,NA,NA,NA,NA,NA,1,0,590,490,2,1,NA,0,0,1
NA,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,610,530,3,1,NA,0,74.90997314453125,1
3.641,36,0,0,0,0,0,0,1,0,1,0,690,640,3,1,NA,0,79.95999908447266,1
2.231,70,1,0,0,0,0,0,1,0,1,0,760,640,2,1,NA,0,0,1
2.906,16,0,0,1,0,0,0,0,1,0,1,480,420,2,NA,1,0,0,1
3.471,20,1,0,0,0,0,0,1,0,0,1,670,520,3,NA,1,0,88.33000183105469,1
3.32,15,0,NA,NA,NA,NA,NA,NA,NA,0,1,520,550,3,NA,1,0,76.70999908447266,1
2.118,49,1,1,0,0,0,0,0,1,1,0,600,560,3,1,NA,0,65.0199966430664,1
4,24,0,0,0,0,0,0,1,0,1,0,620,700,3,1,NA,0,83.31999969482422,1
3.49,32,1,NA,NA,NA,NA,NA,NA,NA,1,0,610,540,2,1,NA,0,0,1
2.91,10,1,1,0,0,0,0,0,1,1,0,NA,NA,3,1,NA,0,86.75,1
1.929,14,1,0,0,0,0,0,1,0,1,0,780,600,3,1,NA,0,83.44000244140625,1
3.486,14,1,0,1,0,0,0,0,1,0,0,490,580,3,0,0,1,95.01000213623047,1
NA,0,1,1,0,0,0,0,0,1,0,0,660,520,3,0,0,1,69.999969482421875,1
3.308,13,0,1,0,0,0,0,0,1,1,0,610,510,3,1,NA,0,86.68000030517578,1
2.821,93,1,0,0,0,0,0,1,0,1,0,580,580,3,1,NA,0,66.65899658203125,1
3.008,16,1,NA,NA,NA,NA,NA,NA,NA,0,1,700,580,3,NA,1,0,76.62000274658203,1
0.191,3,1,0,0,0,0,0,1,0,0,1,610,540,2,NA,1,0,0,1
3.552,42,1,0,0,0,0,0,1,0,0,0,610,660,3,0,0,1,71.61000061035156,1
3.564,17,1,0,0,0,0,0,1,0,0,0,700,620,3,0,0,1,90,1
2.816,31,0,0,0,0,0,0,1,0,1,0,570,640,3,1,NA,0,60.0099983215332,1
NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,2,NA,1,0,0,1
2.38,22,1,1,0,0,0,0,0,1,0,1,730,600,3,NA,1,0,94.98999786376953,1
3.425,23,0,1,0,0,0,0,0,1,0,0,640,650,3,0,0,1,83.30000305175781,1
3.45,83,1,0,0,0,0,0,1,0,0,1,570,600,3,NA,1,0,83.31999969482422,1
2.267,16,1,0,0,0,0,0,1,0,1,0,700,570,3,1,NA,0,70,1
3.325,25,0,0,0,0,0,0,1,0,0,1,710,720,3,NA,1,0,73.37000274658203,1
3.193,20,1,0,0,0,0,0,1,0,0,0,650,590,3,0,0,1,83.38999938964844,1
1.468,54,0,0,0,0,0,0,1,0,1,0,620,620,3,1,NA,0,0,1
NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,3,NA,1,0,69.95999908447266,1
3.021,23,1,1,0,0,0,0,0,1,0,0,680,610,3,0,0,1,86.70999908447266,1
NA,NA,0,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,2,NA,1,0,0,1
3.022,27,1,NA,NA,NA,NA,NA,NA,NA,0,0,630,530,3,0,0,1,90,1
3.036,14,0,0,1,0,0,0,0,1,0,0,600,530,3,0,0,1,61.68000030517578,1
2.569,32,0,NA,NA,NA,NA,NA,NA,NA,0,0,470,550,3,0,0,1,73.37000274658203,1
3.618,64,1,NA,NA,NA,NA,NA,NA,NA,0,1,760,620,3,NA,1,0,88.30999755859375,1
3.566,42,0,0,0,0,0,0,1,0,0,0,740,670,3,0,0,1,91.6500015258789,1
NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,0,790,600,3,0,0,1,84.98999786376953,1
3.308,20,0,0,0,0,0,0,1,0,0,1,550,670,3,NA,1,0,68.36000061035156,1
3.269,16,1,NA,NA,NA,NA,NA,NA,NA,1,0,610,590,3,1,NA,0,70.05000305175781,1
NA,24,0,NA,NA,NA,NA,NA,NA,NA,1,0,575,530,3,1,NA,0,66.69000244140625,1
3.514,14,1,NA,NA,NA,NA,NA,NA,NA,1,0,790,770,3,1,NA,0,83.29997253417969,1
3.968,52,1,0,0,0,0,0,1,0,0,1,650,630,3,NA,1,0,96.68000030517578,1
NA,22.5,1,NA,NA,NA,NA,NA,NA,NA,1,0,590,470,1,1,NA,0,0,NA
2.697,30,0,0,0,0,0,0,1,0,0,0,610,610,1,0,0,1,0,NA
2.92,10,0,0,1,0,0,0,0,1,0,0,600,540,1,0,0,1,0,NA
2.111,24,1,NA,NA,NA,NA,NA,NA,NA,0,0,510,530,1,0,0,1,0,NA
2.744,16,1,0,0,0,0,0,1,0,0,1,670,650,1,NA,1,0,0,NA
3.256,25,0,0,0,0,0,0,1,0,0,0,560,610,1,0,0,1,0,NA
NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,0,420,NA,1,1,NA,0,0,NA
3.015,45,0,1,0,0,0,0,0,1,0,0,540,500,1,0,0,1,0,NA
1.993,13,1,0,0,0,0,0,1,0,0,0,610,690,1,0,0,1,0,NA
3.144,48,1,NA,NA,NA,NA,NA,NA,NA,0,1,600,530,1,NA,1,0,0,NA
3.68,110,1,0,0,0,0,0,1,0,0,1,620,530,1,NA,1,0,0,NA
2.862,45,0,0,0,0,0,0,1,0,1,0,640,480,1,1,NA,0,0,NA
3.36,40,0,NA,NA,NA,NA,NA,NA,NA,0,0,560,550,1,0,0,1,0,NA
3.898,115,0,1,0,0,0,0,0,1,1,0,480,540,1,1,NA,0,0,NA
3.073,38,1,NA,NA,NA,NA,NA,NA,NA,0,0,610,620,1,0,0,1,0,NA
2.933,127,0,0,0,0,0,0,1,0,1,0,530,580,1,1,NA,0,0,NA
0.231,3,1,NA,NA,NA,NA,NA,NA,NA,1,0,690,550,1,1,NA,0,0,NA
2.994,49,1,0,0,0,0,0,1,0,0,1,560,500,1,NA,1,0,0,NA
3.373,15,1,0,1,0,0,0,0,1,0,1,590,590,1,NA,1,0,0,NA
4,114,1,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,1,NA,1,0,0,NA
2.859,36,1,NA,NA,NA,NA,NA,NA,NA,0,1,770,460,1,NA,1,0,0,NA
2.73,54,0,0,0,0,0,0,1,0,1,0,450,490,1,1,NA,0,0,NA
3.546,13,0,0,0,0,0,0,1,0,1,0,NA,NA,1,1,NA,0,0,NA
3.92,22,0,1,0,0,0,0,0,1,1,0,660,540,1,1,NA,0,0,NA
3.529,28,1,NA,NA,NA,NA,NA,NA,NA,0,0,690,790,1,0,0,1,0,NA
3.107,29,1,1,0,0,0,0,0,1,0,1,570,450,1,NA,1,0,0,NA
3.135,130,0,NA,NA,NA,NA,NA,NA,NA,0,1,620,520,1,NA,1,0,0,NA
NA,0,0,0,0,0,0,0,1,0,0,0,560,590,1,0,0,1,0,NA
3.66,23,0,NA,NA,NA,NA,NA,NA,NA,0,0,700,610,1,0,0,1,0,NA
2.84,43,1,0,1,0,0,0,0,1,0,0,600,550,1,0,0,1,0,NA
2.475,107,1,1,0,0,0,0,0,1,0,0,580,470,1,0,0,1,0,NA
3.604,48,1,0,1,0,0,0,0,1,0,1,560,450,1,NA,1,0,0,NA
NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,0,0,1,0,NA
3.821,41,0,NA,NA,NA,NA,NA,NA,NA,1,0,700,610,1,1,NA,0,0,NA
NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,1,NA,1,0,0,NA
3.293,14,0,0,0,0,0,0,1,0,0,1,600,510,1,NA,1,0,0,NA
3.252,29,0,0,0,0,0,0,1,0,0,1,590,540,1,NA,1,0,0,NA
3.236,37,1,NA,NA,NA,NA,NA,NA,NA,0,0,680,570,1,0,0,1,0,NA
3.421,14,1,0,0,0,0,0,1,0,0,0,600,600,1,0,0,1,0,NA
1.342,19,0,1,0,0,0,0,0,1,1,0,580,630,1,1,NA,0,0,NA
3.638,49,0,0,0,0,0,0,1,0,0,0,610,640,1,0,0,1,0,NA
1.396,57,1,0,0,0,0,0,1,0,1,0,640,630,1,1,NA,0,0,NA
NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,1,NA,1,0,0,NA
2.092,25,1,0,0,0,0,0,1,0,1,0,500,500,1,1,NA,0,0,NA
3.186,27,1,NA,NA,NA,NA,NA,NA,NA,0,0,540,470,1,0,0,1,0,NA
2.8,27,0,0,1,0,0,0,0,1,0,0,NA,NA,1,0,0,1,0,NA
NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,710,380,1,0,0,1,0,NA
3.162,102,0,0,0,0,0,0,1,0,1,0,470,440,1,1,NA,0,0,NA
NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,1,NA,1,0,0,NA
3.183,49,0,0,0,0,0,0,1,0,0,0,550,670,1,0,0,1,0,NA
2.684,32,1,0,1,0,0,0,0,1,1,0,520,460,1,1,NA,0,0,NA
3.43,44,0,NA,NA,NA,NA,NA,NA,NA,1,0,540,570,1,1,NA,0,0,NA
2.893,30,1,0,0,0,0,0,1,0,1,0,570,460,1,1,NA,0,0,NA
3.067,18,1,0,0,0,0,0,1,0,1,0,640,630,1,1,NA,0,0,NA
3.333,15,0,0,1,0,0,0,0,1,1,0,540,480,1,1,NA,0,0,NA
3.3,46,1,0,0,0,0,0,1,0,1,0,660,570,1,1,NA,0,0,NA
2.828,90,0,NA,NA,NA,NA,NA,NA,NA,0,0,500,520,1,0,0,1,0,NA
3.131,45,1,0,0,0,0,0,1,0,0,1,610,560,1,NA,1,0,0,NA
3.421,48,0,0,0,0,0,0,1,0,1,0,500,540,1,1,NA,0,0,NA
3.375,58,0,1,0,0,0,0,0,1,0,1,570,540,1,NA,1,0,0,NA
3.458,25,0,0,0,0,0,0,1,0,0,0,570,750,1,0,0,1,0,NA
1.657,34,1,0,0,0,0,0,1,0,0,1,620,630,1,NA,1,0,0,NA
3.618,34,0,0,0,0,0,0,1,0,0,0,700,620,1,0,0,1,0,NA
2.229,14,1,0,0,0,1,0,0,1,1,0,670,430,1,1,NA,0,0,NA
NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,1,NA,1,0,0,NA
0.743,7,1,0,0,0,0,0,1,0,0,1,660,560,1,NA,1,0,0,NA
3.514,14,1,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,1,NA,1,0,0,NA
3.927,40,0,1,0,0,0,0,0,1,0,1,660,540,1,NA,1,0,0,NA
3.24,30,0,0,0,0,0,0,1,0,0,1,590,635,1,NA,1,0,0,NA
2.969,36,1,NA,NA,NA,NA,NA,NA,NA,0,1,690,640,1,NA,1,0,0,NA
2.222,36,1,0,1,0,0,0,0,1,0,1,460,470,1,NA,1,0,0,NA
2.906,16,0,0,1,0,0,0,0,1,1,0,480,420,1,1,NA,0,0,NA
3.7,49,1,0,1,0,0,0,0,1,1,0,610,600,1,1,NA,0,0,NA
2.331,81,0,0,0,0,0,0,1,0,0,1,610,580,1,NA,1,0,0,NA
2.945,50,1,0,0,0,0,0,1,0,1,0,600,710,1,1,NA,0,0,NA
3.647,22,1,0,0,0,0,0,1,0,1,0,610,760,1,1,NA,0,0,NA
3.479,23,0,1,0,0,0,0,0,1,0,0,650,700,1,0,0,1,0,NA
3.545,29,0,0,0,0,0,0,1,0,1,0,650,600,1,1,NA,0,0,NA
NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,1,NA,1,0,0,NA
3.959,43,0,NA,NA,NA,NA,NA,NA,NA,0,1,720,640,1,NA,1,0,0,NA
NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,1,NA,1,0,0,NA
NA,41,1,NA,NA,NA,NA,NA,NA,NA,1,0,600,590,1,1,NA,0,0,NA
2.86,29,0,1,0,0,0,0,0,1,0,1,790,360,1,NA,1,0,0,NA
3.095,111,1,0,1,0,0,0,0,1,1,0,420,440,1,1,NA,0,0,NA
3.333,15,0,0,1,0,0,0,0,1,0,0,540,480,1,0,0,1,0,NA
2.963,24,0,0,1,0,0,0,0,1,0,1,560,630,1,NA,1,0,0,NA
2.778,25,1,0,0,0,0,0,1,0,0,1,NA,NA,1,NA,1,0,0,NA
3.58,59,0,NA,NA,NA,NA,NA,NA,NA,0,1,560,560,1,NA,1,0,0,NA
NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,0,0,1,0,NA
3.557,75,0,0,0,0,0,0,1,0,0,1,530,540,1,NA,1,0,0,NA
3.013,34,0,1,0,0,0,0,0,1,0,1,540,510,1,NA,1,0,0,NA
3.548,42,0,0,1,0,0,0,0,1,0,0,570,610,1,0,0,1,0,NA
2.895,44,0,1,0,0,0,0,0,1,0,1,NA,NA,1,NA,1,0,0,NA
3.79,45,0,NA,NA,NA,NA,NA,NA,NA,0,1,620,800,1,NA,1,0,0,NA
